Word,Definitions
KchiqH,A [[chick]]; a young [[chicken]]
KchuqF,"(Of [[sexuality]], [[sexual orientation]]) An individual who is attracted to the same sex; [[homosexual]]"
KeA,[[rock]]
KeA ntaH kynyaqF,"[[molcajete]], a traditional Mexican stone tool that functions as a [[mortar]] and [[pestle]]"
KeA-lqyaA,[[tooth]] [[of]]; used to show possession
KeC,A [[flower]]
KeC-ktyiqE,"[[Matlali]], a species of tree"
KeC-mboqH,"{{taxlink|Brugmansia suaveolens|species}}, a type of flower that is also know as ''Brazil's white angel trumpet'' or ''snow angel's trumpet''"
KeC-nkqaE-jneqE,An unspecified species of [[flower]] that exhibits a shade of [[pink]]
KeC-xtyiE-ktaK,An unspecified type of [[tree]] or  [[plant]]
KeG,[[head]] [[of]]; used to show possession
KeG-ntsenE,"A [[queen]] [[ant]], specifically of a species of [[flying]] [[ant]]"
KeqC,Some form of [[ice]]
KeqF,A [[trap]] ; A [[test]]
KiC,[[grass]]
KiG,A common [[reed]] [[grass]] plant
KiqA,[[fire]]
KiqA-ktanqA,[[firefly]]
KjinA,[[skin]] [[of]]; used to show possession
KjinA-xkanA,[[ear]] [[of]]; used to show possession
KlaA,"[[corn]] [[plant]] ; Of an [[old]] [[age]], [[elderly]]"
KlaA-kwiF,A [[star]] seen in the [[morning]]
KlaE,A [[cloth]] ; A [[loom]]
KlaqB,"[[mamey sapote]], a type of fruit."
KleK,A [[mayor]] ; A [[chief justice]]
KnaA,[[mirror]] ; [[slipper]]
KnaC,A [[thief]]
KnaE ntyonE,An unspecified type of [[snake]]
KnaE-styiqA,Ecuadorian [[milk snake]]; a type of snake
KnaE-xtuqF,An unspecified species of [[snake]]
KnaG,A [[crocodile]]
KnaqE,[[meat]]
KniC,A [[bird]]
KniC kwiqC-noE,"Broadly refers to a [[bird]], or an unspecified species of bird"
KniC-kaqE,A [[woodpecker]]
KniC-konA,[[dove]] or [[pigeon]]
KnoqC,A [[worm]]
KnoqC nyiB,[[snail]]
KnoqC tkliE,A [[slug]]
KnoqC-kiqA,[[glow]] [[worm]] from the family {{taxfmt|Lampyridae|family}}
KnoqC-ndawiK,An unspecified type of [[worm]]
KnoqC-nlaH-yaqC,A [[centipede]]
KnoqG,[[tornado]]
KnyaqA,[[mouse]] ; Could also mean [[earwax]]
KnyaqE,A [[deer]]
KoG,A [[cloud]]
KonG,A [[tuber]] plant
KonG knyaqF,[[radish]] ; [[horseradish]]
KonG ktsiC,A [[carrot]]
KonG kwneqG,"A [[vine]] with a sticky bulbous root that is used as a plaster to set injured bones. It grows in the temperate climate in Cieneguilla, Mexico."
KonG-kchiC-nkaqE,An unspecified species of [[tuber]] plant
KonG-ktyiqC,A type of [[tuber]] plant ; An unspecified type of [[potato]]; likely a [[sweet potato]]
KoqF,The [[moon]]
KqnaC,A [[plate]] ; Could also mean: a [[clearing]] of weeds in a field
KqwanB,"[[guacamaya]], a type of [[bird]]"
KsiK,A [[cross]]
KsiqF-lwaH,A [[lizard]]
KsiqF-staB,An unspecified species of [[lizard]] that dwells in or near water
KsiqF-tseqB,An unspecified species of [[lizard]] that spews or produces a red liquid from the mouth
KsuA,A red [[bag]].
KsuC,An [[avocado]]
KtaA,[[cigarette]]
KtaB,[[cattle]]
KtaC,[[dust]] ; [[powder]]
KtaF,The Chipilín plant ({{taxlink|Crotalaria longirostrata|species}}) in form of an herb; sometimes referred to as [[chepil]] or [[chepilin]]
KtaF-kyqyaF-kiC,"[[tarragon]], a type of aromatic herb used in preparing food ; [[Mexican tarragon]]"
KtaF-ykaE,"A type of [[herb]] used in cooking, probably {{l|en|chipilín}}, {{taxlink|Crotalaria longirostrata|species}}."
KtaG,A [[shrimp]]
KtanE,A [[hammock]]
KtaqC,A [[fox]]
KteF-ktyeC,"[[resin]], usually from a tree"
KtenE,A [[mosquito]]
KtonA,A [[bee]]
KtonF,A [[weapon]]
KtonqA,[[pot]]
KtseqF,[[pus]] from a [[wound]] on the [[skin]]
KtsiqF,an [[iguana]] ; any type of [[lizard]]
KtsiqF xuA,"A species of [[iguana]] that can fly, the literal translation from the Spanish phrase ''iguana que vuela''; or literally vulture-iguana"
KtsiqF-kaJ-skwaJ,"A type of [[iguana]], or broadly an [[iguana]]"
KtsonqG,A newly-formed [[ear]] of [[corn]] ; A [[young]] [[corn]] [[plant]]
KtsuqF,A [[localised]] accumulation of [[pus]] on the skin as a result of an [[illness]]
KtuE,A [[hole]]; a hollow place
KtuG,A [[chicken]]
KtuqG,[[hives]] that form on the [[skin]] from interaction with an [[allergen]]
KtyiC,[[paper]]
KtyiE,"[[embroidery]], any variation of the ornamentation of fabric or material using needlework and thread-like material, or an embroidered material"
KtyinqB,[[louse]]
KtyiqC,"[[goiter]], an [[inflamed]] or [[swollen]] [[thyroid]] ; A [[frog]]"
KtyiqC-kiG,An unspecified species of [[frog]] that externally exhibits a [[grey]] [[color]]
KtyiqC-kynyaqK,An unspecified species of [[frog]] that exhibits a black color
KtyiqC-lyuqB,An unspecified species of [[frog]]
KuqF,(Of [[quantity]]) A [[piece]]
KwaC,A [[guard]] for the [[community]]
KwaF,A [[broom]] ; (Of [[color]]) A [[purple]] ; ([[demonstrative]]) [[that]]
KwanH-n'yaJ,An [[appearance]]
KwaqA,[[morning]] [[dew]]
KweC-ntaK,An ([[financial]]) [[account]] ; A [[fortune telling]]
KweC-ntuK,A [[rumour]]; [[gossip]]
KwenC,A [[bat]]
KwenqG,An [[armadillo]]
KweqG,A [[pig]]
KweqH,"A [[crab]] ; A [[crawdad]], potentially"
KwiA,[[tepache]]
kwiE,[[parrot]]
KwiE,A [[star]] seen in the [[evening]] ; ([[instrument]]) A [[flute]] ; (''See Related terms'') could also mean a [[parrot]]
KwiqB,A [[ring]] accessory ; A [[hiccup]]
KwiqC,A [[baby]] or [[child]]
KwlaA,[[star]] ; [[fish]]
KwnaE,An unspecified species of [[snake]]
KwnaE jnoE,"A [[boa constrictor]], usually of smaller size"
KwnaE-kwnoE,"A [[boa constrictor]], a type of snake"
KwnaE-ntsenK,"An unspecified type of [[worm]], possibly an [[earthworm]]"
KwnaE-ntyiqJ,An unspecified type of [[snake]]
KwnaE-ntykanqE,A [[coral snake]]
KwnaE-xtyuG,A [[boa constrictor]]; a [[boa]] [[snake]]
KwneqG,"A [[vine]] with a sticky bulbous root that is used as a plaster to set injured bones. It grows in the temperate climate in Cieneguilla, Mexico."
KwtsiqC staB,An unspecified species of [[lizard]] that exhibits [[dewlap]]
KwtyeqA-kiqA,An unspecified type of [[ant]]; possibly a [[fire ant]] from an example of the word being used in the sentence ([[Spanish]]) ''las hormigas de fuego pican duro''.
KwtyeqG,An [[ant]]
KwtyeqG-kyoA,An unspecified type of [[ant]]
KwtyeqG-ntsenG,An unspecified species of [[ant]]
KwtyeqG-tqiB,An unspecified species of [[ant]]
KxaK,A [[needle]] ; A ([[medical]]) [[shot]]
KxinG,An unspecified type of [[plant]]
KxinqC,[[weed]]s; uncultivated land
KxinqC-chaqF-jneG,An unspecified type of [[herb]]
KxinqC-ntyiqC,An unspecified species of [[plant]]
KxinqC-tlyaqG,An unspecified type of [[bitter]] [[herb]]
KxiqG-ntaF,(Of [[color]]) A [[true blue]] ; [[navy blue]]
KxuK,(Some) [[cheese]]
KyaqA,[[foot]] [[of]]; used to show possession
KycheA,"[[brush]], which can be made of hemp."
KycheqB,[[thorn]]
KyjinA,[[leather]]
KylaC,A [[puddle]]
KynyaE,A [[palm]]
KynyaqF,A [[pepper]]
KynyaqG,"(Some) [[honey]] ; [[chest]] or [[trunk]], a container, usually larger, used for storage"
KyoA,[[rain]]
KyoA-jlaF,A [[storm]]
KyoA-keI,(Some) [[hail]]
KyoA-qenA,A weather condition where [[rain]] is present and is usually accompanied by some varying levels of [[wind]]
KyoA-xweA,[[mist]] ; [[drizzle]]
KyoqC,"[[agave]], in whole form before processing"
KyoqJ-jwlaqE,"[[agave]], possibly in the form of [[syrup]]"
KyqnyaG,A [[bed]]
KyqoA,[[lime]]
KyqyaA,[[sin]]
KyqyaC,An [[incline]] or [[ascent]] ; [[uphill]]
KyqyaG,A type [[bamboo]] plant ; A [[dried]] out [[corn]] [[plant]] or the [[stalk]] of a corn plant
KyqyuE,A [[man]]; a [[male]] ; (Of [[characteristic]] or [[physical]] [[quality]]) [[masculine]]
KytyeC,"[[Montezuma]] [[pine]], a species of tree. Many species of [[fungi]] may be present near this tree"
L'yuI,[[on]] the [[ground]]; [[on]] the [[floor]] ; [[on]] the [[soil]]; [[on]] the [[Earth]]
LaA-nseB,[[elephant]]
LaA-xuF,A [[buzzard]]
LaG,A [[church]]
LiqH,A [[swing set]]
LoA,[[manner]]; way of being. ; [[mannerism]]
LoA-jyanF,A phrase meaning ''on the [[field]]''
LoA-keI,[[on]] the [[rock]] ; A [[rock]] or a [[crag]]
LoA-kiqI,[[on]] the [[fire]] ; [[on]] the [[stove]]
LoA-kyaqC,A [[market]]
LoA-ntenI,A [[hill]] ; A [[mountain]]
LoA-ykwaqI,[[at]] the [[swamp]] ; A [[swamp]]; a [[marsh]]
LuqH,"[[coquito nut]], a type of small fruit from a tree"
LyaA,[[opossum]]
LyaK,A [[mule]]
LyiqH,A [[parakeet]]
MaA-ndaJ,An [[errand]] ; A [[favour]]
MaH-steqA,[[grandmother]]
MaH-xuqF,An [[elderly]] [[woman]]
MbaB,[[co-parent]] ; Someone who supports in parenting; [[godparent]]
MenC-konqA,An unspecified type of [[animal]]
MiH-nyiqJ,"A [[puppy]], a [[newborn]] [[domesticated]] [[dog]]"
NaF,A [[thing]]
NaF-jniJ,An unspecified type of [[plant]]
NaI,(Some) [[pain]] ; [[painful]]
NchanqH,A [[pinecone]]
NchinB,"[[monkey]], or [[primate]]"
NdaA,A [[bean]]
NdaA kiG,"A type of [[bean]], possibly a Black Calypso bean"
NdaA klaA,A type of yellow [[bean]] ; Mayacoba yellow bean
NdaA klaA skwaqG,An unspecified type of yellow bean
NdaA ktyiqC,"A type of [[black bean]], probably from [[Chiapas]] ; [[Chiapas]] [[black bean]]"
NdaA tiF,"A type of [[bean]] that exhibits a [[black]] color, possibly black turtle beans"
NdaA wqyuE,An unspecified type of [[bean]] ; Possibly the [[shell]] of a [[bean]]
NdaC,A [[roadrunner]]
NdaH-jiF,An [[onion]]
NdanA,[[leg]] [[of]]; used to show possession
NdaqB-nkqaE,A species of [[pea pod]] that exhibits a red color
NdiyoB-si0,[[God]]
NdleK,A [[cloth]] ; A [[napkin]]
NdyaqA,[[cocoa]]
NdyeB,"[[chicatana]], a species of [[leaf-cutter ant]]s that are used in preparing a traditional dishes"
NeqA sqanE,A [[wizard]]
NeqA-jaJ,A [[devil]]
NeqA-klaA,[[mister]] or [[missus]] ; A title used to recognise an older individual.
NeqA-qoE,An individual who practices [[medicine]] ; A [[healer]] within a local community
NeqA-skanA,[[guardian]]
NeqA-tanI,A [[pilgrim]] ; An [[immigrant]]
NeqA-tqiB,A person who does not come from a background of wealth or lacks wealth
NeqA-xqanK,A phrase that describes [[mean]] [[people]]
NeqA-xyaqA,People who originate from [[Mexico]]; Mexican people
NeqC,[[stomach]] [[of]] someone; used to show possession
NeqC qanE,The [[interior]] of a [[house]]
NeqC-t'yuI,A [[hole]] in the [[ground]] ; A [[hole]]
NganE,A [[coconut]]
NgwanH,A [[least weasel]]; a type of [[weasel]]
NkaqA,A [[leaf]]
NkaqA ktaA,The [[leaf]] of a [[tobacco]] [[plant]]
NkaqA-loA-qoC-kchaG,A [[plant]]
NkaqA-qwiA-tqyuK,An unspecified species of [[plant]]
NkaqA-taA-tykuE,An unspecified type of [[plant]] that grows along [[creek]]sides.
NkaqA-tseqA-kwnyaqE,An unspecified type of [[tree]]
NkaqA-yqaA,[[lettuce]]
NkiA,A [[leaf]] that comes from an unspecified type of [[plant]]
NkonB,A [[turtle]]
NkonB-keK,A type of [[land]] [[turtle]]
NkonB-siK,A type of [[sea]] [[turtle]]
NkonB-xuK,A [[turtle]] that resides in bodies of water
NluC,[[farming]] [[land]] ; A [[place]] to plant [[crops]]
NnyaA,[[griddle]] or [[hotplate]]
NoA,"{{initialism of|en|w:Nintendo of America}}. ; [[what]] or that which, in Spanish ''lo'', ''lo que''; functions as a 'light' noun or (locational) pronoun."
NoA-kyqyuE,"{{plural of|omq-sjq|KyqyuE}}, [[men]]"
NoA-qanE,A [[woman]]; a [[female]]
NoA-qanE-lyuq0A,A [[little girl]]
NoA-xweI,(plural) [[children]]
NtenA,[[hill]]
NtenB,"[[people]], plural of [[person]]"
NtenqF,A [[flat]] [[place]]; [[somewhere]] [[flat]]
NtiB,[[garbage]] or produced [[waste]]
NtkonqA,[[fist]]
NtqanA,Fresh or new [[corn]]
NtsiK,"[[nance]], the [[fruit]] that comes from a [[tree]] of the species {{taxlink|Byrsonima crassifolia|species}} in the [[acerola]] family"
NtskuA,"[[Brazilian cherry]], a type of fruit"
NtskwaqB,[[corn]]
NtskwaqB kqya0,[[Corn]] from cold climates or terrains.
NtskwaqB nten0,[[Corn]] from hot climates or terrains.
NtskwaqB ntsiC,A species of [[yellow]] [[corn]]
NtskwaqB pasto0,[[Corn]] that has been [[genetically modified]]; [[transgenic]] corn
NtswaqB-kwna0,"{{taxlink|Piper auritum|species}}, root beer plant"
NtswenB,"[[orange]] fruit, a round, citrus fruit that exhibits a yellow-red colour when ripe"
NtswenB-xa0,A type of orange fruit.
NtswenB-xi0,Sweet lime
NtswenJ-ymaE,"[[lime]], a type of citrus fruit ; Could also refer to a [[piercing]] on or in the [[navel]] area of the body"
NtswiqH,A (piece of) [[charcoal]]
NwlaqB-ke0,An unspecified type of [[plant]]
NyaK,A [[mine]]
NyoK,(Some) [[wine]]
PiC-ksuqC,A [[male]] [[turkey]]
PiC-kteqC,A [[female]] [[turkey]]
PiE-luF,A [[tadpole]]
PiH,A [[turkey]]
PyaK,A [[papaya]] [[fruit]]
PyonK,A [[shawl]]
QaF,A [[tamarind]]
QanA,[[house]]
QanA-kiqI,A [[kitchen]]
QanA-tyiA,[[house]] [[of]] someone; used to show possession
QenA,[[air]]
QenH,"A [[fan]], possibly made out of [[palm]] leaves"
QneA,An [[animal]]
QneA chaF jyaqC,"A [[white]] [[beetle]], possibly from the ''Cyphochilus'' family"
QneA-joqH,An [[owl]]
QnyaG,[[famine]] ; [[hunger]]
QoC,A [[saint]]; a recognised [[religious]] [[entity]]
QoC-ntsiqAF,A [[god]] or [[deity]] of [[fire]]
QoE,A species of [[hallucinogenic]] [[mushroom]] ; [[with]] ; [[also]]
QoF,A [[corral]]
QwaB,[[banana]]
QwaG,"[[granary]] or [[silo]], a [[storage]] place for crops and related products"
QweF,A [[bottle]]
QyaA,[[eagle]] or [[hawk]] ; A type of [[cocoa]] ; On [[some]] [[occasions]]; not [[frequently]]
QyaF-siF,A [[moth]]
QyuC,"[[flea]], a vector"
ReB,A [[king]]
RiqC,[[essence]] [[of]] someone or something; used to show possession ; [[likeness]] or [[similarity]]
SaA-kuqF,A [[single]] [[part]]; [[one]] [[part]]
SaA-laK,A [[plate]] that is made of [[clay]]
SaA-luK,A [[hat]]
SaA-naK,A [[week]]
SaA-skaqG,Half of a lunch meal
SaE-yka0,[[bench]]
SaH,"A [[weevil]], a type of insect"
SaK,A [[cup]]
SeK,A [[judge]]
SenAF,[[sand]]
SenE,"{{taxfmt|Tillandsia usneoides|species}}, a type of moss"
SenG,The [[afternoon]]
SeqC,A [[theater]]
ShneH,The sniffles
SiF,A [[butterfly]]
SinqA,[[nose]] [[of]]; used to show possession
SiqA,[[on]] the [[side]] or [[waist]] [[of]]; used to show possession
SiqA-tykuE,A [[riverbank]]
SkaA-sqenI,A [[place]] ; [[somewhere]] ; [[anywhere]]
SkaK,(Some) [[sugar]]
SkanA,[[corner]] or [[junction]]
SkanqB,[[mucus]] of; used to show possession
SkaqG,"A type of tool used for [[dipping]], such as a [[ladle]] or [[mug]], usually made from a [[gourd]]"
SkonC,[[arm]] [[of]]; used to show possession
SkuB,"[[minnow]], a small fish"
SkuqH,A [[grasshopper]]
SkwaAF,[[chayote]]
SkwaE,A [[meal]] that has been [[prepared]]
SkwaG keG,[[brain]] [[of]]; used to show possession
SkwanG,A [[dough]] that is usually made of [[corn]]
SkwaqB,[[cockroach]]
SkwaqG-jeqH,A [[shell]]
SluAF,[[prickle]]
SlyaqE,A [[sheep]] ; [[cotton]]
SlyiK,A [[pair]] of [[pants]] ; (Some) [[pants]]
SnaA kyaqA,By the [[foot]]
SnaK,An [[apple]]
SneE,A [[toad]]
SniA,[[smoke]]
SniC,[[penis]] [[of]]; used to show possession
SniqA,[[offspring]] or [[kin]] [[of]]; used to show possession
SnyaqB,"[[tick]], a vector ; [[mite]], a vector"
SonG-jykaG,A [[root]]
SqaI,An unspecified type of [[worm]]
SqaI-skonqA-wnaAF,An unspecified species of white [[worm]]
SqaI-ynaF,An unspecified species of [[worm]] that exhibits a [[green]] [[color]]
SqanE,"A type of [[bowl]], possibly made from [[earthen]] material ; [[pot]] or [[cooking pot]] ; [[full]], [[filled]]"
SqenA,[[where]] ; [[place]]
SqenC,[[excrement]] [[of]]; used to show possession
SqenI,A [[scorpion]]
SqnyaA,[[lips]] [[of|3SG]]; A person's lip
SqyuC,A [[seed]]
SqyuC skwaqB ynaH,"A type of berry, native to Cieneguilla, Oaxaca, Mexico. Grows along the river banks in moist soil. They are sweet."
SqyuC-tloE,[[eye socket]] [[of]]; used to show possession
SqyuE,"A type of [[container]] used for holding [[tortillas]], usually made from a [[gourd]]"
StanqA,[[nail]] or [[claw]] of (an animal); used to show possession
StenAF,"[[plum]], or plum-like fruit"
StiA,[[father]] [[of]]; used to show possession
StiA-lyaC,[[father-in-law]] [[of]]; used to show possession
StiA-qoC,A [[priest]]
StonB,A [[ribbon]] used for multiple functions
StuK,{{l|en|SPG|gloss=[[self-propelled gun]]}} {{abbreviation of|de|Sturmkanone}} {{gloss|[[assault gun]]}} ; An [[interest]] ; A [[taste]]
StyinAF,[[feather]]
StyiqA,[[milk]]
StyonK,"A [[pigeon]], likely a {{vern|red-billed pigeon}} (species {{taxfmt|Patagioenas flavirostris|species}}) ; A [[dove]]"
StyuK,"A [[tea pot]], usually made of [[clay]]"
StyuqH,A [[lump]] or [[swelling]]
SuA-tyeqK,A [[lemon]]
SuK,Someone who [[works]]; a [[worker]]
SweA-ktyiqC,A [[frog]] [[egg]]
SyaK,A [[heart]]
SyuK,A [[habit]] ; A [[manner]] of doing something
T'yanE,A [[steam bath]]
TaA-suK,A [[container]]
TanG,(Some) [[grease]]
TenE,{{lb|omq-sjq|colloquial}} [[buddy]] or [[tot]]
TeqA-qaI,"A [[slip]], a type of clothing ; A [[petticoat]]"
TeqA-yqweF,"A [[patch]], or [[piece]] of [[cloth]]"
TiF,A [[rope]] ; A [[cord]]
TiF-knaF,An elongated piece of material in the form of a [[rope]] or [[cord]] made from [[leather]]; [[leather]] [[strap]] ; A [[tumpline]]
TjeqA,[[salt]]
TjeqA-xyanqH,A type of flavoured [[salt]]
TjoE,The [[vine]] of a [[squash]] [[plant]]
TjoE-tykaqI,The [[vine]] of a [[gourd]]
TkaqH-yuA,Type of animal {{rfclarify|omq-sjq}}
TkwanG,"A [[basket]], usually made from [[palm]] leaves"
TlaB,The [[night]] ; During the [[night]]; [[nighttime]]
TloE,[[face]] [[of]]; used to show possession
TloF,A [[skirt]]
TlyaF,A [[lunch]] or [[lunchtime]]
TlyaG,[[gas]] [[of]]; used to show possession ; [[flatulence]] [[of]]; used to show possession
TlyaqA,[[plastic]] ([[bottle]]) ; To have a [[plastic]]-like [[quality]]
TonG,A [[knot]]
TqaA siAkaK,A [[celebration]] of a certain day ; A [[vacation]]
TqaAF,A [[party]] ; A [[festival]]
TqaG,A [[relative]] [[of]]; used to show possession
TqaG-laH,The [[brother]] of someone
TqaG-ntqanE,An [[individual]] that a [[person]] is currently passing time with ; ([[platonic]] in relation) a [[partner]]
TqaG-xinG,(The) [[in-laws]] of someone
TqenG,A [[pot]] made of [[clay]] used to collect [[water]] from a [[well]]
TqwaA,[[mouth]] [[of]]; used to show possession
TqwaA-qanA,[[door]]
TqwaA-tqanH,"A [[border]], whether literal or abstract was not specified."
TsanAF,[[day]]
TseqA,[[tongue]] [[of]]; used to show possession
TuC-kwanC,The [[sky]]
TuC-tqwaA,Inside of the [[mouth]]; [[oral cavity]]
TuC-xkaqH,"A [[hole]] ; A [[crater]] ; A [[cavity]], in context of [[dentistry]]"
TuC-xqinC,[[intestine]]s [[of]]; used to show possession
TuF-keAF,[[cave]]
TuF-sqanJ,"A [[pool]], for [[leisure]]"
TuF-tiAF,[[creek]] ; [[stream]]
TwenF,A [[road]] or [[path]]
TyaE,A [[squirrel]]
TyanqB,[[raven]]
TyaqB,[[blackberry]]
TyiA noA xweI,A [[placenta]]
TyiF-kaqE,A [[carpenter]]
Tyiᴬ,[[cicada]].
TyjiG,A type of [[potholder]] that you put near a [[fire]] ; A [[bracer]]
TyjyanG,A [[bone]]
TykanqE,A [[necklace]]
TykaqA,A type of [[gourd]]
TykaqA ktaA,The [[seed]] of a [[gourd]]
TykaqH,"A [[depression]] in a [[surface]], or a [[nook]]"
TykuA,[[comb]]
TykuE,A [[river]] ; A [[well]] of water ; Could mean a [[reservoir]] or [[source]] of [[water]]
TykwanF,[[bucket]] or [[pail]] ; [[metal]]
TykwaqC,A [[male]] [[ant]]
TykwenE,"A [[bed bug]], a type of [[vector]]"
TyqaA-qoE,The [[sea]]
TyqaA-sneqI,(Some) [[saliva]] ; (Some) [[drool]]
TyqaAF,[[water]]
TyqanH,(Some) [[paint]] ; A [[painting]]
TyqyuF,[[lightning]] or a [[lightning bolt]]
TyuF,A [[brick]]
TyuF yqaA,A type of sun-dried brick used in building; [[adobe]]
Wan0A,A [[manner]]
WjeAF,"[[epazote]], used in making tea."
WjeE,"[[hives]], a swollen area of the skin from an allergic reaction; [[rash]]"
WjiF,A [[skunk]]
WqyaA,An unspecified [[pest]] [[insect]] that feeds on the grain of corn
WqyaE,A [[party]] or [[festivity]]
WqyaF,"A [[small]] [[mammal]], perhaps a [[mole]] or [[gopher]]"
WraK,An [[hour]]
WyuqAF,[[spider]]
Xa0,[[liturgy]] ; mass
XaF,[[light]]
XaF-l'yuI,The [[world]]
XaF-lwiH,(Some) [[lightning]]
XeH-keA-loA,An [[eye]] [[color]] that is [[clear]]
XeqF,[[ash]] [[water]] ; (Of [[sensation]]) [[sparkly]]; [[bubbly]]
XeqG,A [[raccoon]]
XiA-tyiA,[[village]] [[of]]; used to show possession
XiB,[[tomato]]
XinG,([[dimension]]) [[wide]] ; (Of [[size]]) [[wide]]
XkaA-lyuK,"A [[mezcal]], a type of [[alcoholic]] beverage made from [[agave]]"
XkuH kiqA,"Someone who holds a [[flame]], possibly for ceremonious reasons"
XlaK,(Some) [[chocolate]]
XluG-yuA,"[[beetle]], usually black in color"
XlyaG,A [[parasitic]] [[worm]] that resides in your [[stomach]]
XlyuK,A [[knife]]
XneqC,A [[dog]]
XneqC nkqoB,[[coyote]]
XneqC-klaE,A [[male]] [[dog]]
XneqC-tyeqA,A [[female]] [[dog]] ; {{lb|omq-sjq|vulgar|offensive}} An insult towards an adult woman
XnoE,A [[grapefruit]]
XqaH,[[adornment]] of any kind ; [[traditional]] [[garments]]
XqeH,A [[rooster]]
XqiC,A [[moment]] of [[time]] ; [[brief]]
XqnaE,"A [[boss]] or [[supervisor]], someone who is above you in a [[working]] [[hierarchy]]"
XqnyaF,"A piece of [[clay]], possibly in the state of being [[broken]] or [[damaged]]"
XqoF,A [[forest]] or [[wooded]] area
XqweF,(Some) [[leftovers]]
XtyiK,A [[machete]]
XtyonH,A ([[domestic]]) [[cat]]
XtyonH-kxinqC,A [[wildcat]]; [[bobcat]]
XuA,A [[vulture]]
XuK,A [[peso]]
XuqF,{{lb|omq-sjq|derogatory}} An insult used against an [[older]] [[individual]]
XwaG,An [[annona]] fruit
XwiK,A [[basket]] ; A [[hamper]]
XyanG,[[condiments]] or [[spices]]
YaF,A [[prickly pear]] ; A [[cactus]] or type of cactus
YanG,[[poison]]; [[venom]]
YaqC,[[hand]] [[of]]; used to show possession
YaqC kchiE,A [[stone]] used for [[grinding]] by hand
YaqC-kwenF,[[right hand]] [[of]]; used to show possession
YjaA,A [[tortilla]]
YjaA sleqH,A fat[[tortilla]]
YjaA-kuqAF,A [[tortilla]] dish with [[beans]]
YjaA-ntqanI,A [[tortilla]] made from [[sweet corn]]
YjaA-tlaI,A [[baked]] [[tortilla]]
YjaA-tykinqF,[[food]] for a [[dog]]; a type of [[dogfood]]
